Country Name,Country Code,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,,,,,,,,69.08298133,,,,,,,,,78.20209059,,,,,,,80.73058121,,,86.36099826,84.48275862,,,,,,,,,,,,
Africa Eastern and Southern,AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,53.37900434,,,,20.78601373,,33.45226202,,,28.93636215,,,24.67909398,30.27428764,,
Africa Western and Central,AFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.76409508,,,85.8452841,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,84.17264255,,,,,82.49695328,95.73579653,97.51566952,,,72.90038005,,,,,94.59441954,,95.6039457,,
Albania,ALB,,,,,,93.87673158,89.0508074,88.84454201,89.7785003,75.16971816,,67.51037344,65.34863946,58.60215054,59.67523681,60.27777778,65.33923304,,69.2329306,63.36287313,64.41558442,65.31100478,65.71222329,60.08802068,74.2970123,71.29300485,73.25392359,77.71920993,74.82038634,71.26408822,69.43672645,73.32533088,76.66209363,74.5099513,76.11829616,77.83371607,,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,28.85327616,29.83771426,29.62989194,,,29.08857778,,27.7964976,,32.82567157,,,,,,,
United Arab Emirates,ARE,,,,,,,,,,,,33.96574154,,,,,,,,,,40.74433657,,,46.79422625,47.30687057,,,,,,,54.9345634,56.98504822,56.67429443,62.59627397,69.51427929,58.22920821,61.83832489,59.99603529
Argentina,ARG,,35.20843797,,35.44208276,,36.90491304,36.99796645,52.74374001,52.45901639,56.31500743,54.35745938,54.2530848,58.32241153,58.55263158,59.63302752,61.49802891,60.14453232,59.50413223,63.24549237,66.80763984,66.96302606,65.79080344,66.74303983,65.2870494,65.43955673,66.4767884,65.04751848,64.81036127,65.59737513,65.3954186,65.85143677,,,67.69363094,69.74382807,70.44111469,70.51326474,70.95268884,72.59105418,73.60951497
Armenia,ARM,,,,,,,,,,,,,,79.04540163,,,86.06977312,,,,,,,64.54844407,75.67361425,73.91304348,72.19917012,73.3012306,72.61837465,72.53463294,75.49816609,74.84559159,73.83084016,74.76831515,77.07449912,75.86492392,79.40888005,79.82342044,,
American Samoa,ASM,,,,,,,72.00883753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,74.86256872,,,,,,,,,,84.67339895,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,59.40594059,61.08955066,63.66164878,64.95314698,66.27457235,67.89889457,69.11354226,69.64646938,70.08012086,70.31080052,71.46738392,72.63551503,73.114714,73.41012752,73.78758287,74.24838049,75.61824713,76.62413558,76.98350791,78.18903581,77.89057147,79.05008947,79.65838939,80.11417697,80.63752151,81.27229982,81.02726381,81.59247406,81.95948866,82.23685132,82.68596556,83.15306826,84.06605858,84.67381464,85.28686388,85.71790113,85.96128037,86.67912402,87.70615954,87.62922555
Austria,AUT,57.28196444,56.86941727,57.47484767,58.86947877,60.05751258,60.76168494,61.98501873,62.58806614,64.40166643,65.37739934,68.92613741,70.06542069,69.92106356,70.49728556,71.25832406,71.39005047,71.73748874,72.68163416,74.35193209,74.44788018,76.68014723,77.94817397,78.63251731,78.87378467,79.6880354,80.91958831,81.35428066,82.12185474,82.80137048,83.17660137,83.84173097,83.92730134,84.22508948,84.32263989,83.87492519,84.16271959,84.75861232,84.42919075,84.80340701,85.27848671
Azerbaijan,AZE,,,,,,94.18423107,,,,59.47662602,,,84.19834073,89.0572055,88.33632914,78.33356174,87.90810157,87.71712159,87.53180662,87.35332464,87.7852349,87.6880985,86.76470588,86.18614416,87.59656652,90.15029914,91.34601209,91.11111111,90.56047198,90.29411765,90.77598829,91.09489051,90.35971223,90.24390244,90.53084648,90.81779053,91.69054441,91.58345221,88.93678161,
Burundi,BDI,104.469837,,99.79357798,,,,100.5440817,,,,,,,,101.7021277,,,,,,,,97.45183185,,100.4726439,,,,,,102.4867127,,,,,,99.12971877,,,
Belgium,BEL,55.98094292,56.54425904,57.94030459,58.44164149,59.11929284,58.8595764,59.88008257,61.90406385,63.61257829,65.28969249,65.66878668,66.25635493,66.5845689,67.59421054,68.69434734,70.50859084,70.96706012,69.19364702,70.53414626,71.25035253,73.37976783,74.43997328,75.29454294,76.1784691,77.09500879,77.76397516,78.4784933,78.76078037,78.84164714,80.06067107,81.17581508,81.52733201,81.36410082,82.33733311,83.8898206,84.28129281,84.36751727,84.65313029,85.3131822,85.25795219
Benin,BEN,,,46.34727684,,,,,,64.37360179,,,,109.8730102,,,,,103.137667,83.11161789,102.5003273,,,,,,,98.10725552,93.71168119,,,,,,,,97.95286586,,,96.04557727,
Burkina Faso,BFA,,81.89936833,,,,,,89.28250112,,,87.17339667,,,,,,,,,,,92.04301075,70.79133357,94.54949944,,,,,,,77.97227617,,,,71.63215614,87.32707006,,,83.39857835,76.76315016
Bangladesh,BGD,8.953540821,9.403928652,10.96941654,,,75.63411897,,70.83663534,,,,,62.93375394,,,,64.05640908,,,29.83178853,,,33.63228179,,,,43.48412076,,,41.04705767,,,41.80100756,45.05292907,,,,,53.67919272,
Bulgaria,BGR,,,,,,,,,88.66556837,,,,,82.42530756,,,79.44954455,81.86737644,82.21281763,80.68073299,81.02310819,80.10934089,81.79732449,81.59953238,80.85405442,80.54510322,80.36880005,81.07597437,81.43815556,81.39909141,80.90024128,80.9181803,80.15136226,80.2931781,79.47202713,79.2882147,78.77948406,79.08772835,80.1340559,80.04664629
Bahrain,BHR,,23.34783791,,24.22925438,,,31.39013453,33.14065511,33.40832396,34.31151242,35.22083805,36.02272727,36.94412771,37.82857143,38.64678899,39.58573072,40.53117783,41.30991159,42.27642276,43.29054842,45.09637532,40.89922481,46.07323678,,,,50.01717623,49.2247165,,,,50.0805153,,,,,,,,
"Bahamas, The",BHS,,,,,,84.7649919,81.5231119,86.59924147,87.48435544,84.44714459,82.54066042,88.53503185,85.46365915,88.79093199,88.89188824,85.3188929,,87.02570379,88.00489596,,,,,,,88.1377551,,92.80031822,87.50791841,91.72141919,,,,,,91.95638706,,,,101.9627501
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,51.64314171,,,,,55.29717628,54.18419987,56.14025686,57.51054318,58.98279036,59.09963073,58.1292517,58.93068801,60.39676574,60.9463895,58.61003437,61.25873064,59.26317778,64.15098032,61.978727,65.89803464,66.53019613,67.94206728
Belarus,BLR,,,,,,80.28021474,,,,,,,,100.4366812,,80.32287542,,,,,,,94.11972453,93.58615869,94.55922865,80.23255814,,,,,,108.365019,88.9852374,88.49824672,86.9663423,87.87288719,87.03286509,87.79751972,87.41098002,87.18284455
Belize,BLZ,,,,,,,,,,,44.23003682,,44.49152542,48.43161857,50.38167939,49.68632371,,,,,,56.85071575,,,,,,,65.73983341,59.01782771,59.53709392,60.472129,61.89440056,61.41110161,,69.38111935,,,,
Bermuda,BMU,,,,,,,,82.45294475,,,,,,,,,85.43579424,,,,,,,,,91.86046512,93.10344828,,,,,,,,,,,,,
Bolivia,BOL,,28.23912257,28.27044399,28.28568067,,70.15019763,61.79062483,65.12698413,62.06516183,68.57142857,69.375,69.63343882,75.94765952,72.61239368,,74.12738221,72.49179132,79.31488801,74.01197605,76.71068427,76.71068427,75.36239103,77.30242386,77.23000532,76.01212726,76.7081844,,75.39692173,72.46575684,73.66566213,75.0070205,68.65567041,73.22138187,75.68174281,79.44726059,80.73729133,74.10242708,84.03568605,84.49632461,85.89161046
Brazil,BRA,,48.31843838,48.46271646,50.32055018,50.78509491,52.01095929,52.86860181,52.05155492,61.95186169,61.8582195,,59.8463188,59.99853071,60.71419904,61.99687378,63.64970107,,67.33064277,69.09493092,69.59190012,70.62091544,71.9646307,71.92389006,72.14739453,71.72245205,72.44677646,,70.3976417,69.14379094,69.19960944,69.45597263,70.40144435,70.83200383,72.28822383,72.85565134,73.78129469,70.73256567,71.87478557,72.98614883,72.6374829
Barbados,BRB,,,77.23250201,76.84210526,80.80042548,79.69562955,79.5505618,79.46757679,80.09459459,,81.94276501,84.2797691,83.67374728,84.12655489,,,,,,85.126498,85.38461538,,,,,85.89991706,86.21169916,86.73637865,84.87208009,86.06329817,89.36955559,90.20515331,89.23230021,88.19105365,87.38282054,89.61439198,,,,
Brunei Darussalam,BRN,,,48.40644919,,,,,56.48260764,,,,,,,,,,71.13324089,,,,,,,,,,74.50462351,,,80.48372272,,,82.00397718,78.79158647,75.54631025,74.56531733,76.61311709,73.86519177,75.21891297
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,66.74129005,77.28531856,,,89.75265018,87.72146683,86.98781838,96.28445257,81.69209431,77.20681402,78.58949143,,,79.09632714,85.15372619,87.60843481,89.32817138,72.81787363,78.47388116
Botswana,BWA,,81.24841732,,,,,,55.25652923,,,69.08344733,,76.11261884,,67.83833784,,71.78349601,71.08545035,,,,,79.47160598,,,80.12300088,79.70752299,,,82.29627701,,,,,,84.32859354,83.88194138,85.44768626,86.15634011,86.24429068
Central African Republic,CAF,,,,,79.25849403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
