"Data Source","World Development Indicators",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","32.295719844358","","","","","","","","","","","","42.5762991476492","","","","","","","","","53.4177215189873","","","","","","","","","","69.0829813326066","","","","","","","","","78.2020905923345","","","","","","","80.7305812058664","","","86.3609982588508","84.4827586206897","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","","","","","","","","","","","","","","","","","","","","7.05724323207274","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.3790043395582","","","","20.7860137318779","","33.4522620236906","","","28.9363621453174","","","24.6790939828252","30.2742876447124","","",
"Africa Western and Central","AFW","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.764095078252","","","85.845284099795","",
"Angola","AGO","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","8.51063829787234","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.1726425482771","","","","","82.4969532836832","95.7357965329622","97.5156695156695","","","72.9003800484414","","","","","94.5944195445478","","95.6039457018206","","",
"Albania","ALB","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","68.4944413039382","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.876731580004","89.0508074044899","88.8445420075833","89.7785003048161","75.1697181649866","","67.5103734439834","65.3486394557823","58.6021505376344","59.6752368064953","60.2777777777778","65.3392330383481","","69.2329305984827","63.3628731343284","64.4155844155844","65.311004784689","65.7122232916266","60.0880206799516","74.2970123022847","71.2930048530185","73.2539235915713","77.7192099262637","74.8203863417025","71.2640882186005","69.4367264460722","73.3253308806335","76.6620936290907","74.509951295773","76.1182961556716","77.8337160690102","","","","",
"Andorra","AND","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.8532761630854","29.837714256174","29.6298919415778","","","29.088577779918","","27.7964976019762","","32.8256715744758","","","","","","","",
"United Arab Emirates","ARE","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","","","","","","","","","","","","","","","","10.8777194298575","","","","","16.8279970215934","","","","","","","","","","","","","","","33.9657415437988","","","","","","","","","","40.7443365695793","","","46.7942262504196","47.3068705723603","","","","","","","54.9345633984124","56.9850482211051","56.6742944317315","62.5962739666504","69.5142792894086","58.2292082059462","61.8383248929582","59.996035285955",
"Argentina","ARG","Ratio of female to male labor force participation rate (%) (national estimate)","SL.TLF.CACT.FM.NE.ZS","27.5596156127655","","","","","","","","","","32.6835286859963","","","","","","","37.1271284086545","37.8249678249678","38.4884172382555","35.8208955223881","","","34.6565455450473","","35.2084379708689","","35.4420827568859","","36.9049130379586","36.997966446365","52.7437400106553","52.4590163934426","56.3150074294205","54.3574593796159","54.2530847991599","58.3224115334207","58.5526315789474","59.6330275229358","61.4980289093298","60.1445323152441","59.504132231405","63.245492371706","66.8076398362892","66.9630260601059","65.7908034360788","66.7430398294925","65.2870493991989","65.4395567268059","66.4767883962277","65.0475184794087","64.8103612742003","65.5973751288031","65.3954185983092","65.8514367736771","","","67.6936309414701","69.7438280732886","70.4411146898194","70.5132647373416","70.9526888370393","72.5910541795018","73.6095149744541",
